HMM_regimes,year,month
bear,2002,1
bull,2002,2
bull,2002,3
bull,2002,4
bull,2002,5
bull,2002,6
bull,2002,7
bull,2002,8
bull,2002,9
bear,2002,10
bear,2002,11
bull,2002,12
bear,2003,1
bull,2003,2
bull,2003,3
bull,2003,4
bull,2003,5
bear,2003,6
bull,2003,7
bull,2003,8
bear,2003,9
bull,2003,10
bear,2003,11
bull,2003,12
bear,2004,1
bull,2004,2
bull,2004,3
bull,2004,4
bull,2004,5
bear,2004,6
bear,2004,7
bear,2004,8
bull,2004,9
bull,2004,10
bear,2004,11
bear,2004,12
bear,2005,1
bull,2005,2
bull,2005,3
bull,2005,4
bull,2005,5
bear,2005,6
bull,2005,7
bull,2005,8
bull,2005,9
bull,2005,10
bear,2005,11
bull,2005,12
bear,2006,1
bull,2006,2
bull,2006,3
bull,2006,4
bear,2006,5
bear,2006,6
bear,2006,7
bull,2006,8
bull,2006,9
bull,2006,10
bear,2006,11
bull,2006,12
bear,2007,1
bull,2007,2
bull,2007,3
bear,2007,4
bull,2007,5
bear,2007,6
bear,2007,7
bear,2007,8
bear,2007,9
bull,2007,10
bear,2007,11
bull,2007,12
bear,2008,1
bear,2008,2
bull,2008,3
bull,2008,4
bear,2008,5
bear,2008,6
bull,2008,7
bull,2008,8
bull,2008,9
bull,2008,10
bear,2008,11
bear,2008,12
bull,2009,1
bull,2009,2
bull,2009,3
bear,2009,4
bull,2009,5
bull,2009,6
bull,2009,7
bull,2009,8
bull,2009,9
bear,2009,10
bear,2009,11
bull,2009,12
bull,2010,1
bull,2010,2
bull,2010,3
bull,2010,4
bull,2010,5
bull,2010,6
bull,2010,7
bull,2010,8
bull,2010,9
bull,2010,10
bear,2010,11
bear,2010,12
bear,2011,1
bull,2011,2
bull,2011,3
bear,2011,4
bear,2011,5
bear,2011,6
bear,2011,7
bear,2011,8
bull,2011,9
bear,2011,10
bear,2011,11
bear,2011,12
bear,2012,1
bear,2012,2
bear,2012,3
bull,2012,4
bear,2012,5
bear,2012,6
bull,2012,7
bull,2012,8
bull,2012,9
bull,2012,10
bear,2012,11
bear,2012,12
bear,2013,1
bull,2013,2
bull,2013,3
bull,2013,4
bull,2013,5
bear,2013,6
bull,2013,7
bull,2013,8
bull,2013,9
bull,2013,10
bear,2013,11
bear,2013,12
bear,2014,1
bear,2014,2
bull,2014,3
bull,2014,4
bull,2014,5
bear,2014,6
bear,2014,7
bull,2014,8
bull,2014,9
bull,2014,10
bull,2014,11
bear,2014,12
bear,2015,1
bull,2015,2
bull,2015,3
bull,2015,4
bull,2015,5
bear,2015,6
bull,2015,7
bull,2015,8
bull,2015,9
bull,2015,10
bear,2015,11
bear,2015,12
bear,2016,1
bull,2016,2
bull,2016,3
bull,2016,4
bull,2016,5
bull,2016,6
bull,2016,7
bull,2016,8
bull,2016,9
bear,2016,10
bear,2016,11
bull,2016,12
bear,2017,1
bull,2017,2
bull,2017,3
bear,2017,4
bull,2017,5
bull,2017,6
bear,2017,7
bull,2017,8
bear,2017,9
bear,2017,10
bear,2017,11
bull,2017,12
bear,2018,1
bull,2018,2
bull,2018,3
bull,2018,4
bear,2018,5
bear,2018,6
bull,2018,7
bull,2018,8
bull,2018,9
bear,2018,10
bear,2018,11
bear,2018,12
bear,2019,1
bull,2019,2
bull,2019,3
bull,2019,4
bull,2019,5
bear,2019,6
bear,2019,7
bull,2019,8
bull,2019,9
bear,2019,10
bear,2019,11
bear,2019,12
bear,2020,1
bull,2020,2
bull,2020,3
bear,2020,4
bull,2020,5
bull,2020,6
bull,2020,7
bull,2020,8
bear,2020,9
bear,2020,10
bear,2020,11
bear,2020,12
bear,2021,1
bear,2021,2
bull,2021,3
bear,2021,4
bull,2021,5
bull,2021,6
bear,2021,7
bear,2021,8
bear,2021,9
bear,2021,10
bear,2021,11
bear,2021,12
bear,2022,1
bull,2022,2
bull,2022,3
bear,2022,4
bull,2022,5
bear,2022,6
bull,2022,7
bear,2022,8
bear,2022,9
bear,2022,10
bull,2022,11
bear,2022,12
bull,2023,1
bear,2023,2
bear,2023,3
bull,2023,4
bull,2023,5
bull,2023,6
bear,2023,7
bull,2023,8
bull,2023,9
bear,2023,10
bull,2023,11
bear,2023,12
